MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.54224	Sec	7/5/2010 1:24:13 PM
Axial Displacement	Axial Force	Axial Strain	Time
mm	N	mm/mm	Sec
0.00047713279	-1.5884843	-0.18662199	9.9484863
0.00012353197	-0.44499001	-0.18657081	10.048584
0.0010157912	0.71798444	-0.18659441	10.148682
0.00096530601	0.48186943	-0.18667154	10.248779
0.00044402241	-0.59118843	-0.1867293	10.348877
0.00026482478	-1.2868143	-0.18673477	10.448975
-0.00028887257	-1.5799859	-0.1866723	10.549072
-0.00036246941	-1.0165462	-0.1865983	10.64917
0.00069218635	0.14146695	-0.18656576	10.749268
0.00096350297	0.62558436	-0.18660872	10.849365
0.00024745002	0.27635887	-0.18668722	10.949463
0.00029268995	-0.81818986	-0.18673895	11.049561
0.00091875478	-1.534982	-0.18672074	11.149658
0.00010009244	-1.8693069	-0.18664756	11.249756
0.00013353064	-0.66561192	-0.18657999	11.349854
0.00099300733	0.22057825	-0.1865702	11.449951
0.00098727038	0.89380759	-0.18663062	11.550049
0.0014047972	0.41574493	-0.18670209	11.650146
0.0006516999	-1.0647627	-0.18674015	11.750244
0.00040583074	-1.7978281	-0.18671244	11.850342
0.00021581486	-1.5979908	-0.18663076	11.950439
0.0010743081	-0.63213676	-0.1865762	12.050537
0.00076254591	0.26323536	-0.18658134	12.150635
0.0014598719	0.69886875	-0.18665135	12.250732
0.00093219563	0.11551041	-0.18672357	12.35083
0.00045680761	-1.364177	-0.18674102	12.450928
-0.0005695732	-1.8292985	-0.1866902	12.551025
0.00026925042	-1.2403752	-0.18661015	12.651123
0.00076746329	-0.27450395	-0.18656671	12.751221
0.0012295744	0.57919073	-0.18660018	12.851318
0.00059514999	0.54449093	-0.18666793	12.951416
0.00059891999	-0.43487397	-0.18673328	13.051514
0.00028039649	-1.6374297	-0.18673016	13.151611
-0.00082384289	-1.8879269	-0.18667465	13.251709
-0.0001172559	-0.95436347	-0.18659472	13.351807
0.0019115335	-0.00090949354	-0.18657239	13.451904
0.00080106541	0.72281456	-0.18661785	13.552002
0.0004605776	0.24619302	-0.18668909	13.6521
-0.00019527838	-0.4445799	-0.18674177	13.752197
0.00093170389	-1.6473008	-0.18672171	13.852295
9.8781136e-05	-1.4362993	-0.18664479	13.952393
0.00051417708	-0.44166356	-0.18658185	14.05249
0.00074517116	0.30593804	-0.18657959	14.152588
0.00066628814	0.97863758	-0.18663216	14.252686
0.00080762192	0.20465232	-0.18670014	14.352783
0.00076336547	-0.78116035	-0.18673858	14.452881
0.00016303494	-1.5796669	-0.18669641	14.552979
0.00039189815	-1.3152088	-0.18662855	14.653076
0.0014110259	-0.20422709	-0.18657413	14.753174
0.0010272651	0.85942101	-0.18658099	14.853271
0.0002779378	0.59885895	-0.18664913	14.953369
0.00091547653	-0.052104861	-0.1867201	15.053467
0.00038829207	-1.0458521	-0.18673843	15.153564
0.00016778841	-1.5810566	-0.18668652	15.253662
0.00037124514	-1.2325603	-0.18660225	15.35376
0.0011394224	0.061552498	-0.18656866	15.453857
0.0011617146	0.92349499	-0.18659689	15.553955
0.00095334038	0.67058825	-0.1866719	15.654053
0.00029318169	-0.21156351	-0.18673344	15.75415
0.00022138789	-1.357524	-0.18672629	15.854248
-9.3160721e-05	-1.6734111	-0.18666098	15.954346
0.00090924784	-0.83172351	-0.18658507	16.054443
0.00096923992	0.4465943	-0.18656853	16.154541
0.0010016947	0.98513675	-0.18662024	16.254639
0.00014238193	0.5596422	-0.18670139	16.354736
0.0003873086	-0.78220844	-0.18674177	16.454834
-0.00069222093	-1.6009982	-0.18671833	16.554932
0.00053991139	-1.3022448	-0.18664031	16.655029
0.00082893058	-0.61646146	-0.18657781	16.755127
0.00045631587	0.48428452	-0.18658136	16.855225
2.4528652e-05	0.77205628	-0.18663815	16.955322
0.00058842957	-0.061132975	-0.18671606	17.05542
-0.00046774239	-1.0363967	-0.18674497	17.155518
0.00034993648	-1.7930207	-0.18669993	17.255615
0.00055154919	-1.1020883	-0.18662505	17.355713
0.00057285785	-0.2323481	-0.18657076	17.455811
0.00035944342	0.55036914	-0.18658957	17.555908
0.00084384665	0.72024	-0.18666093	17.656006
0.00026695564	0.024682494	-0.18672509	17.756104
-0.00060436368	-1.3200617	-0.1867377	17.856201
0.00035239517	-1.5783226	-0.18667907	17.956299
0.00065596163	-1.1352389	-0.18660079	18.056396
0.0011579446	0.2154291	-0.18657267	18.156494
0.00098022213	1.1867456	-0.18660733	18.256592
0.00090564176	0.87526149	-0.18668181	18.356689
0.00081516191	-0.051785886	-0.18673372	18.456787
8.8290719e-05	-1.2477628	-0.18673049	18.556885
-0.00042987854	-1.6252859	-0.18666446	18.656982
0.00073746726	-0.72048122	-0.18659601	18.75708
0.00084499404	0.52744287	-0.18657164	18.857178
0.00063022733	0.81608045	-0.18662846	18.957275
0.0012921891	0.43554413	-0.18670897	19.057373
0.0010313629	-0.67627484	-0.18674426	19.157471
0.00021860137	-1.3114949	-0.1867227	19.257568
0.0004143542	-1.459425	-0.18663196	19.357666
0.00010877982	-0.48666742	-0.18655774	19.457764
0.0010859459	0.82845205	-0.1866063	19.557861
0.0023340187	0.90036935	-0.18664439	19.657959
0.00093399867	0.14962356	-0.1867144	19.758057
0.00013762846	-0.91111392	-0.18674523	19.858154
0.00018860534	-1.5827883	-0.18669938	19.958252
0.0016636564	-1.3041129	-0.18661845	20.05835
0.00031432643	-0.019478351	-0.18657003	20.158447
0.00053860008	1.027173	-0.18658611	20.258545
0.00028072431	0.79114914	-0.18666205	20.358643
0.00073041901	-0.31542951	-0.18673438	20.45874
0.00089941308	-1.2181835	-0.18673746	20.558838
4.7445175e-07	-1.7184606	-0.18667571	20.658936
0.00063842296	-1.3130671	-0.18659939	20.759033
0.00063727557	-0.012233079	-0.18656631	20.859131
0.0010925024	0.61002302	-0.18660487	20.959229
0.0011543385	0.51862556	-0.18668187	21.059326
0.0013739816	-0.81014717	-0.1867442	21.159424
-0.00038508937	-1.6053956	-0.18672527	21.259521
0.00061858952	-1.7769353	-0.18665816	21.359619
0.0010195612	-1.123847	-0.186591	21.459717
3.5510806e-05	0.10406721	-0.18657334	21.559814
9.8289398e-05	0.94323152	-0.18663606	21.659912
0.0005836761	-0.17766111	-0.18671422	21.76001
0.00035354256	-1.1269456	-0.18675119	21.860107
-0.00025002524	-1.6687633	-0.18671712	21.960205
-0.00033312902	-1.7593405	-0.1866414	22.060303
0.00075779244	-0.58877337	-0.18657756	22.1604
0.00093121215	0.11054353	-0.18658671	22.260498
0.00079909846	0.72898901	-0.18664643	22.360596
-0.00027674303	-0.24784115	-0.1867166	22.460693
0.00015893712	-1.3379471	-0.18674055	22.560791
0.00040009379	-2.0035665	-0.18670385	22.660889
0.00038452208	-1.2972493	-0.18661907	22.760986
-0.0003816472	-0.27329642	-0.18657365	22.861084
0.00086908921	0.66197592	-0.18659675	22.961182
0.00029285386	0.38179126	-0.186674	23.061279
0.00029580429	-0.55639178	-0.18673746	23.161377
-0.00020904705	-1.5427797	-0.18674093	23.261475
-9.8078104e-05	-1.9116451	-0.18667893	23.361572
-0.00028821692	-1.0160223	-0.18660228	23.46167
-0.00056465581	0.0078452099	-0.18657334	23.561768
0.00049368798	0.88252962	-0.18661922	23.661865
0.00025269523	0.53492171	-0.1866907	23.761963
0.00026400521	-0.51328468	-0.18674557	23.862061
-0.0010718838	-1.3598936	-0.18672627	23.962158
0.0004322207	-1.7693425	-0.18665724	24.062256
