Ti,Ni,Cu,Fe,Pd,Tp,numa,cs,arc,mr,en,ven,dor,anum,mass,ccs,carc,cmr,cen,cven,cdor,canum,cmass,formula
50.0,44.0,2.3,3.6,0.1,-32.05,5.0,0.93896,162.68,135.677,1.72218,6.951,0.40838,24.969,53.34225,0.18779,32.536,27.1354,0.34444,1.3902,0.08168,4.9938,10.66845,Ti0.5Ni0.44Cu0.023Fe0.036Pd0.001
50.0,40.4,4.6,1.0,4.0,-3.33,5.0,0.94526,163.186,136.224,1.73534,7.026,0.41648,25.746,55.38856,0.18905,32.6372,27.2448,0.34707,1.4052,0.0833,5.1492,11.07771,Ti0.5Ni0.404Cu0.046Fe0.01Pd0.04
50.0,45.7,0.0,4.3,0.0,-42.17,3.0,0.9357,162.801,135.586,1.72156,6.914,0.40872,24.914,53.16288,0.3119,54.267,45.19533,0.57385,2.30467,0.13624,8.30467,17.72096,Ti0.5Ni0.457Fe0.043
50.0,45.8,0.0,4.2,0.0,-38.83,3.0,0.9358,162.794,135.584,1.72164,6.916,0.40868,24.916,53.16572,0.31193,54.26467,45.19467,0.57388,2.30533,0.13623,8.30533,17.72191,Ti0.5Ni0.458Fe0.042
50.0,42.8,3.6,2.8,0.8,-39.05,5.0,0.9414,162.712,135.804,1.72472,6.98,0.40959,25.124,53.76212,0.18828,32.5424,27.1608,0.34494,1.396,0.08192,5.0248,10.75242,Ti0.5Ni0.428Cu0.036Fe0.028Pd0.008
50.0,43.9,2.1,4.0,0.0,-40.34,4.0,0.93831,162.696,135.664,1.72159,6.941,0.40833,24.941,53.27346,0.23458,40.674,33.916,0.4304,1.73525,0.10208,6.23525,13.31837,Ti0.5Ni0.439Cu0.021Fe0.04
50.0,44.5,1.7,3.7,0.1,-28.04,5.0,0.9382,162.711,135.655,1.72216,6.943,0.4085,24.961,53.31025,0.18764,32.5422,27.131,0.34443,1.3886,0.0817,4.9922,10.66205,Ti0.5Ni0.445Cu0.017Fe0.037Pd0.001
50.0,45.7,1.2,3.0,0.1,-9.08,5.0,0.93835,162.682,135.621,1.72277,6.952,0.40829,24.97,53.30583,0.18767,32.5364,27.1242,0.34455,1.3904,0.08166,4.994,10.66117,Ti0.5Ni0.457Cu0.012Fe0.03Pd0.001
50.0,44.0,2.3,3.7,0.0,-39.36,4.0,0.93883,162.667,135.666,1.72181,6.949,0.40818,24.949,53.2917,0.23471,40.66675,33.9165,0.43045,1.73725,0.10205,6.23725,13.32293,Ti0.5Ni0.44Cu0.023Fe0.037
50.0,45.1,1.4,3.5,0.0,-25.31,4.0,0.93804,162.689,135.626,1.72206,6.944,0.40822,24.944,53.25364,0.23451,40.67225,33.9065,0.43052,1.736,0.10205,6.236,13.31341,Ti0.5Ni0.451Cu0.014Fe0.035
50.0,44.6,1.9,3.4,0.1,-23.08,5.0,0.93872,162.682,135.657,1.72238,6.951,0.40836,24.969,53.32849,0.18774,32.5364,27.1314,0.34448,1.3902,0.08167,4.9938,10.6657,Ti0.5Ni0.446Cu0.019Fe0.034Pd0.001
50.0,43.8,2.6,3.6,0.0,-33.57,4.0,0.93926,162.648,135.676,1.72186,6.954,0.4081,24.954,53.30912,0.23482,40.662,33.919,0.43047,1.7385,0.10203,6.2385,13.32728,Ti0.5Ni0.438Cu0.026Fe0.036
50.0,43.9,1.5,4.6,0.0,-44.91,4.0,0.93705,162.762,135.652,1.72117,6.923,0.40865,24.923,53.22726,0.23426,40.6905,33.913,0.43029,1.73075,0.10216,6.23075,13.30682,Ti0.5Ni0.439Cu0.015Fe0.046
50.0,44.5,1.9,3.4,0.2,-30.05,5.0,0.93875,162.702,135.67,1.72267,6.951,0.4086,24.987,53.3762,0.18775,32.5404,27.134,0.34453,1.3902,0.08172,4.9974,10.67524,Ti0.5Ni0.445Cu0.019Fe0.034Pd0.002
50.0,46.0,1.1,2.8,0.1,-12.22,5.0,0.93844,162.672,135.613,1.72294,6.955,0.40822,24.973,53.30665,0.18769,32.5344,27.1226,0.34459,1.391,0.08164,4.9946,10.66133,Ti0.5Ni0.46Cu0.011Fe0.028Pd0.001
50.0,43.8,2.0,4.1,0.1,-42.23,5.0,0.93813,162.727,135.675,1.72181,6.938,0.40862,24.956,53.31347,0.18763,32.5454,27.135,0.34436,1.3876,0.08172,4.9912,10.66269,Ti0.5Ni0.438Cu0.02Fe0.041Pd0.001
50.0,43.9,2.0,4.0,0.1,-41.48,5.0,0.93823,162.72,135.673,1.72189,6.94,0.40858,24.958,53.31631,0.18765,32.544,27.1346,0.34438,1.388,0.08172,4.9916,10.66326,Ti0.5Ni0.439Cu0.02Fe0.04Pd0.001
50.0,46.8,0.9,2.0,0.3,16.8,5.0,0.93908,162.664,135.615,1.72418,6.969,0.40841,25.023,53.41507,0.18782,32.5328,27.123,0.34484,1.3938,0.08168,5.0046,10.68301,Ti0.5Ni0.468Cu0.009Fe0.02Pd0.003
50.0,44.2,1.9,3.8,0.1,-29.72,5.0,0.93832,162.71,135.665,1.72206,6.943,0.40852,24.961,53.31713,0.18766,32.542,27.133,0.34441,1.3886,0.0817,4.9922,10.66343,Ti0.5Ni0.442Cu0.019Fe0.038Pd0.001
50.0,46.7,0.8,2.3,0.2,8.62,5.0,0.93864,162.669,135.604,1.72366,6.962,0.4083,24.998,53.35398,0.18773,32.5338,27.1208,0.34473,1.3924,0.08166,4.9996,10.6708,Ti0.5Ni0.467Cu0.008Fe0.023Pd0.002
50.0,44.2,1.9,3.9,0.0,-31.29,4.0,0.93819,162.697,135.654,1.72169,6.941,0.40831,24.941,53.26658,0.23455,40.67425,33.9135,0.43042,1.73525,0.10208,6.23525,13.31665,Ti0.5Ni0.442Cu0.019Fe0.039
50.0,48.1,0.2,1.5,0.2,28.71,5.0,0.93878,162.637,135.564,1.72436,6.972,0.40806,25.008,53.34754,0.18776,32.5274,27.1128,0.34487,1.3944,0.08161,5.0016,10.66951,Ti0.5Ni0.481Cu0.002Fe0.015Pd0.002
50.0,44.5,1.6,3.7,0.2,-28.87,5.0,0.93812,162.735,135.664,1.72246,6.942,0.40876,24.978,53.3531,0.18762,32.547,27.1328,0.34449,1.3884,0.08175,4.9956,10.67062,Ti0.5Ni0.445Cu0.016Fe0.037Pd0.002
50.0,48.2,0.6,0.9,0.3,47.19,5.0,0.93985,162.599,135.581,1.72509,6.988,0.40801,25.042,53.43173,0.18797,32.5198,27.1162,0.34502,1.3976,0.0816,5.0084,10.68635,Ti0.5Ni0.482Cu0.006Fe0.009Pd0.003
50.0,46.5,1.1,2.2,0.2,10.64,5.0,0.93907,162.65,135.614,1.72371,6.967,0.40822,25.003,53.3714,0.18781,32.53,27.1228,0.34474,1.3934,0.08164,5.0006,10.67428,Ti0.5Ni0.465Cu0.011Fe0.022Pd0.002
50.0,48.3,0.0,1.6,0.1,29.43,4.0,0.93843,162.632,135.545,1.72401,6.968,0.40788,24.986,53.28727,0.23461,40.658,33.88625,0.431,1.742,0.10197,6.2465,13.32182,Ti0.5Ni0.483Fe0.016Pd0.001
50.0,49.0,0.0,0.2,0.8,85.36,4.0,0.94004,162.674,135.608,1.72716,6.996,0.40902,25.14,53.661,0.23501,40.6685,33.902,0.43179,1.749,0.10225,6.285,13.41525,Ti0.5Ni0.49Fe0.002Pd0.008
50.0,48.6,0.0,0.9,0.5,59.01,4.0,0.93925,162.663,135.583,1.72573,6.982,0.40857,25.072,53.49799,0.23481,40.66575,33.89575,0.43143,1.7455,0.10214,6.268,13.3745,Ti0.5Ni0.486Fe0.009Pd0.005
50.0,43.5,2.0,4.5,0.0,-46.68,4.0,0.9377,162.735,135.67,1.7212,6.93,0.40854,24.93,53.2544,0.23443,40.68375,33.9175,0.4303,1.7325,0.10214,6.2325,13.3136,Ti0.5Ni0.435Cu0.02Fe0.045
50.0,25.0,0.0,0.0,25.0,182.9,3.0,0.9475,167.5,138.75,1.7975,7.0,0.4675,29.5,65.2125,0.31583,55.83333,46.25,0.59917,2.33333,0.15583,9.83333,21.7375,Ti0.5Ni0.25Pd0.25
