Ti,Ni,Cu,Fe,Pd,Tp,numa,cs,arc,mr,en,ven,dor,anum,mass,ccs,carc,cmr,cen,cven,cdor,canum,cmass
50.0 ,43.8 ,2.6 ,3.6 ,0.0 ,-33.57 ,4.00000 ,0.93926 ,162.64800 ,135.67600 ,1.72186 ,6.95400 ,0.40810 ,24.95400 ,53.30912 ,0.23482 ,40.66200 ,33.91900 ,0.43047 ,1.73850 ,0.10203 ,6.23850 ,13.32728 
50.0 ,43.9 ,1.5 ,4.6 ,0.0 ,-44.91 ,4.00000 ,0.93705 ,162.76200 ,135.65200 ,1.72117 ,6.92300 ,0.40865 ,24.92300 ,53.22726 ,0.23426 ,40.69050 ,33.91300 ,0.43029 ,1.73075 ,0.10216 ,6.23075 ,13.30682 
50.0 ,44.5 ,1.9 ,3.4 ,0.2 ,-30.05 ,5.00000 ,0.93875 ,162.70200 ,135.67000 ,1.72267 ,6.95100 ,0.40860 ,24.98700 ,53.37620 ,0.18775 ,32.54040 ,27.13400 ,0.34453 ,1.39020 ,0.08172 ,4.99740 ,10.67524 
50.0 ,46.0 ,1.1 ,2.8 ,0.1 ,-12.22 ,5.00000 ,0.93844 ,162.67200 ,135.61300 ,1.72294 ,6.95500 ,0.40822 ,24.97300 ,53.30665 ,0.18769 ,32.53440 ,27.12260 ,0.34459 ,1.39100 ,0.08164 ,4.99460 ,10.66133 
50.0 ,43.8 ,2.0 ,4.1 ,0.1 ,-42.23 ,5.00000 ,0.93813 ,162.72700 ,135.67500 ,1.72181 ,6.93800 ,0.40862 ,24.95600 ,53.31347 ,0.18763 ,32.54540 ,27.13500 ,0.34436 ,1.38760 ,0.08172 ,4.99120 ,10.66269 
50.0 ,43.9 ,2.0 ,4.0 ,0.1 ,-41.48 ,5.00000 ,0.93823 ,162.72000 ,135.67300 ,1.72189 ,6.94000 ,0.40858 ,24.95800 ,53.31631 ,0.18765 ,32.54400 ,27.13460 ,0.34438 ,1.38800 ,0.08172 ,4.99160 ,10.66326 
50.0 ,46.8 ,0.9 ,2.0 ,0.3 ,16.80 ,5.00000 ,0.93908 ,162.66400 ,135.61500 ,1.72418 ,6.96900 ,0.40841 ,25.02300 ,53.41507 ,0.18782 ,32.53280 ,27.12300 ,0.34484 ,1.39380 ,0.08168 ,5.00460 ,10.68301 
50.0 ,44.2 ,1.9 ,3.8 ,0.1 ,-29.72 ,5.00000 ,0.93832 ,162.71000 ,135.66500 ,1.72206 ,6.94300 ,0.40852 ,24.96100 ,53.31713 ,0.18766 ,32.54200 ,27.13300 ,0.34441 ,1.38860 ,0.08170 ,4.99220 ,10.66343 
50.0 ,46.7 ,0.8 ,2.3 ,0.2 ,8.62 ,5.00000 ,0.93864 ,162.66900 ,135.60400 ,1.72366 ,6.96200 ,0.40830 ,24.99800 ,53.35398 ,0.18773 ,32.53380 ,27.12080 ,0.34473 ,1.39240 ,0.08166 ,4.99960 ,10.67080 
50.0 ,44.2 ,1.9 ,3.9 ,0.0 ,-31.29 ,4.00000 ,0.93819 ,162.69700 ,135.65400 ,1.72169 ,6.94100 ,0.40831 ,24.94100 ,53.26658 ,0.23455 ,40.67425 ,33.91350 ,0.43042 ,1.73525 ,0.10208 ,6.23525 ,13.31665 
50.0 ,48.1 ,0.2 ,1.5 ,0.2 ,28.71 ,5.00000 ,0.93878 ,162.63700 ,135.56400 ,1.72436 ,6.97200 ,0.40806 ,25.00800 ,53.34754 ,0.18776 ,32.52740 ,27.11280 ,0.34487 ,1.39440 ,0.08161 ,5.00160 ,10.66951 
50.0 ,44.5 ,1.6 ,3.7 ,0.2 ,-28.87 ,5.00000 ,0.93812 ,162.73500 ,135.66400 ,1.72246 ,6.94200 ,0.40876 ,24.97800 ,53.35310 ,0.18762 ,32.54700 ,27.13280 ,0.34449 ,1.38840 ,0.08175 ,4.99560 ,10.67062 
50.0 ,48.2 ,0.6 ,0.9 ,0.3 ,47.19 ,5.00000 ,0.93985 ,162.59900 ,135.58100 ,1.72509 ,6.98800 ,0.40801 ,25.04200 ,53.43173 ,0.18797 ,32.51980 ,27.11620 ,0.34502 ,1.39760 ,0.08160 ,5.00840 ,10.68635 
50.0 ,46.5 ,1.1 ,2.2 ,0.2 ,10.64 ,5.00000 ,0.93907 ,162.65000 ,135.61400 ,1.72371 ,6.96700 ,0.40822 ,25.00300 ,53.37140 ,0.18781 ,32.53000 ,27.12280 ,0.34474 ,1.39340 ,0.08164 ,5.00060 ,10.67428 
50.0 ,48.3 ,0.0 ,1.6 ,0.1 ,29.43 ,4.00000 ,0.93843 ,162.63200 ,135.54500 ,1.72401 ,6.96800 ,0.40788 ,24.98600 ,53.28727 ,0.23461 ,40.65800 ,33.88625 ,0.43100 ,1.74200 ,0.10197 ,6.24650 ,13.32182 
50.0 ,49.0 ,0.0 ,0.2 ,0.8 ,85.36 ,4.00000 ,0.94004 ,162.67400 ,135.60800 ,1.72716 ,6.99600 ,0.40902 ,25.14000 ,53.66100 ,0.23501 ,40.66850 ,33.90200 ,0.43179 ,1.74900 ,0.10225 ,6.28500 ,13.41525 
50.0 ,48.6 ,0.0 ,0.9 ,0.5 ,59.01 ,4.00000 ,0.93925 ,162.66300 ,135.58300 ,1.72573 ,6.98200 ,0.40857 ,25.07200 ,53.49799 ,0.23481 ,40.66575 ,33.89575 ,0.43143 ,1.74550 ,0.10214 ,6.26800 ,13.37450 
50.0 ,43.5 ,2.0 ,4.5 ,0.0 ,-46.68 ,4.00000 ,0.93770 ,162.73500 ,135.67000 ,1.72120 ,6.93000 ,0.40854 ,24.93000 ,53.25440 ,0.23443 ,40.68375 ,33.91750 ,0.43030 ,1.73250 ,0.10214 ,6.23250 ,13.31360 
50.0 ,25.0 ,0.0 ,0.0 ,25.0 ,182.90 ,3.00000 ,0.94750 ,167.50000 ,138.75000 ,1.79750 ,7.00000 ,0.46750 ,29.50000 ,65.21250 ,0.31583 ,55.83333 ,46.25000 ,0.59917 ,2.33333 ,0.15583 ,9.83333 ,21.73750 
